CHAMBER,LEGISLATOR,PARTY,BARE-BONES,MORE EXPANSIVE
House,Raja Krishnamoorthi,Dem.,100,100
House,Ann Kuster,Dem.,100,100
House,Conor Lamb,Dem.,100,100
House,Jim Langevin,Dem.,100,100
House,Rick Larsen,Dem.,100,100
House,John B. Larson,Dem.,100,100
House,Brenda Lawrence,Dem.,100,100
House,Al Lawson,Dem.,100,100
House,Barbara Lee,Dem.,100,100
House,Susie Lee,Dem.,100,100
House,Teresa Leger Fernandez,Dem.,100,100
House,Andy Levin,Dem.,100,100
House,Mike Levin,Dem.,100,100
House,Ted Lieu,Dem.,100,100
House,Zoe Lofgren,Dem.,100,100
House,Alan Lowenthal,Dem.,100,100
House,Elaine Luria,Dem.,100,100
House,Stephen F. Lynch,Dem.,100,100
House,Tom Malinowski,Dem.,100,100
House,Carolyn Maloney,Dem.,100,100
House,Kathy E. Manning,Dem.,100,100
House,Doris O. Matsui,Dem.,100,100
House,Lucy McBath,Dem.,100,100
House,Betty McCollum,Dem.,100,100
House,A. Donald McEachin,Dem.,100,100
House,James McGovern,Dem.,100,100
House,Jerry McNerney,Dem.,100,100
House,Gregory W. Meeks,Dem.,100,100
House,Grace Meng,Dem.,100,100
House,Kweisi Mfume,Dem.,100,100
House,Gwen Moore,Dem.,100,100
House,Joseph D. Morelle,Dem.,100,100
House,Seth Moulton,Dem.,100,100
House,Frank J. Mrvan,Dem.,100,100
House,Jerrold Nadler,Dem.,100,100
House,Grace Napolitano,Dem.,100,100
House,Richard E. Neal,Dem.,100,100
House,Joe Neguse,Dem.,100,100
House,Marie Newman,Dem.,100,100
House,Donald Norcross,Dem.,100,100
House,Tom O’Halleran,Dem.,100,100
House,Ilhan Omar,Dem.,100,100
House,Frank Pallone Jr.,Dem.,100,100
House,Jimmy Panetta,Dem.,100,100
House,Chris Pappas,Dem.,100,100
House,Bill Pascrell Jr.,Dem.,100,100
House,Donald Payne Jr.,Dem.,100,100
House,Nancy Pelosi,Dem.,100,100
House,Ed Perlmutter,Dem.,100,100
House,Scott Peters,Dem.,100,100
House,Dean Phillips,Dem.,100,100
House,Chellie Pingree,Dem.,100,100
House,Mark Pocan,Dem.,100,100
House,Katie Porter,Dem.,100,100
House,Ayanna Pressley,Dem.,100,100
House,David Price,Dem.,100,100
House,Mike Quigley,Dem.,100,100
House,Jamie Raskin,Dem.,100,100
House,Kathleen Rice,Dem.,100,100
House,Deborah K. Ross,Dem.,100,100
House,Lucille Roybal-Allard,Dem.,100,100
House,Raul Ruiz,Dem.,100,100
House,C.A. Dutch Ruppersberger,Dem.,100,100
House,Bobby L. Rush,Dem.,100,100
House,Tim Ryan,Dem.,100,100
House,John P. Sarbanes,Dem.,100,100
House,Mary Gay Scanlon,Dem.,100,100
House,Jan Schakowsky,Dem.,100,100
House,Adam Schiff,Dem.,100,100
House,Bradley Schneider,Dem.,100,100
House,Kurt Schrader,Dem.,100,100
House,Kim Schrier,Dem.,100,100
House,Robert C. Scott,Dem.,100,100
House,Terri A. Sewell,Dem.,100,100
House,Brad Sherman,Dem.,100,100
House,Mikie Sherrill,Dem.,100,100
House,Albio Sires,Dem.,100,100
House,Elissa Slotkin,Dem.,100,100
House,Adam Smith,Dem.,100,100
House,Darren Soto,Dem.,100,100
House,Abigail Spanberger,Dem.,100,100
House,Jackie Speier,Dem.,100,100
House,Melanie A. Stansbury,Dem.,100,100
House,Greg Stanton,Dem.,100,100
House,Haley Stevens,Dem.,100,100
House,Marilyn Strickland,Dem.,100,100
House,Thomas Suozzi,Dem.,100,100
House,Eric Swalwell,Dem.,100,100
House,Mike Thompson,Dem.,100,100
House,Dina Titus,Dem.,100,100
House,Paul D. Tonko,Dem.,100,100
House,Norma Torres,Dem.,100,100
House,Ritchie Torres,Dem.,100,100
House,Lori Trahan,Dem.,100,100
House,Lauren Underwood,Dem.,100,100
House,Juan Vargas,Dem.,100,100
House,Marc Veasey,Dem.,100,100
House,Filemon Vela,Dem.,100,100
House,Nydia M. Velázquez,Dem.,100,100
House,Debbie Wasserman Schultz,Dem.,100,100
House,Maxine Waters,Dem.,100,100
House,Bonnie Watson Coleman,Dem.,100,100
House,Peter Welch,Dem.,100,100
House,Jennifer Wexton,Dem.,100,100
House,Susan Wild,Dem.,100,100
House,Nikema Williams,Dem.,100,100
House,Frederica Wilson,Dem.,100,100
House,John A. Yarmuth,Dem.,100,100
Senate,Tammy Baldwin,Dem.,100,100
Senate,Michael F. Bennet,Dem.,100,100
Senate,Richard Blumenthal,Dem.,100,100
Senate,Cory A. Booker,Dem.,100,100
Senate,Sherrod Brown,Dem.,100,100
Senate,Maria Cantwell,Dem.,100,100
Senate,Benjamin L. Cardin,Dem.,100,100
Senate,Thomas R. Carper,Dem.,100,100
Senate,Robert P. Casey Jr.,Dem.,100,100
Senate,Christopher A. Coons,Dem.,100,100
Senate,Catherine Cortez Masto,Dem.,100,100
Senate,Tammy Duckworth,Dem.,100,100
Senate,Richard J. Durbin,Dem.,100,100
Senate,Dianne Feinstein,Dem.,100,100
Senate,Kirsten E. Gillibrand,Dem.,100,100
Senate,Margaret Wood Hassan,Dem.,100,100
Senate,Martin Heinrich,Dem.,100,100
Senate,John W. Hickenlooper,Dem.,100,100
Senate,Mazie K. Hirono,Dem.,100,100
Senate,Tim Kaine,Dem.,100,100
Senate,Mark Kelly,Dem.,100,100
Senate,Angus S. King Jr.,Dem.,100,100
Senate,Patrick J. Leahy,Dem.,100,100
Senate,Ben R. Luján,Dem.,100,100
Senate,Joe Manchin,Dem.,100,100
Senate,Edward J. Markey,Dem.,100,100
Senate,Robert Menendez,Dem.,100,100
Senate,Jeff Merkley,Dem.,100,100
Senate,Christopher Murphy,Dem.,100,100
Senate,Jon Ossoff,Dem.,100,100
Senate,Alex Padilla,Dem.,100,100
Senate,Gary C. Peters,Dem.,100,100
Senate,Jack Reed,Dem.,100,100
Senate,Jacky Rosen,Dem.,100,100
Senate,Bernie Sanders,Dem.,100,100
Senate,Brian Schatz,Dem.,100,100
Senate,Charles E. Schumer,Dem.,100,100
Senate,Jeanne Shaheen,Dem.,100,100
Senate,Debbie Stabenow,Dem.,100,100
Senate,Jon Tester,Dem.,100,100
Senate,Chris Van Hollen,Dem.,100,100
Senate,Mark R. Warner,Dem.,100,100
Senate,Raphael G. Warnock,Dem.,100,100
Senate,Elizabeth Warren,Dem.,100,100
Senate,Sheldon Whitehouse,Dem.,100,100
Senate,Ron Wyden,Dem.,100,100
House,Kathy Castor,Dem.,100,97.4
House,Jim Costa,Dem.,100,97.4
House,Lloyd Doggett,Dem.,91.7,97.4
House,Robin Kelly,Dem.,91.7,97.4
House,Sean Patrick Maloney,Dem.,100,97.4
House,Stephanie Murphy,Dem.,100,97.4
House,Alexandria Ocasio-Cortez,Dem.,100,97.4
House,Linda Sánchez,Dem.,100,97.4
House,David Scott,Dem.,91.7,97.4
House,Mark Takano,Dem.,100,97.4
House,David Trone,Dem.,91.7,97.4
House,Ron Kind,Dem.,100,94.7
House,Bennie G. Thompson,Dem.,100,94.7
Senate,Amy Klobuchar,Dem.,100,92.9
Senate,Patty Murray,Dem.,87.5,92.9
Senate,Kyrsten Sinema,Dem.,87.5,92.9
Senate,Tina Smith,Dem.,100,92.9
House,Rashida Tlaib,Dem.,83.3,92.1
House,Jared Golden,Dem.,91.7,86.8
Senate,Bill Cassidy,Rep.,100,71.4
Senate,Susan Collins,Rep.,100,71.4
Senate,Lisa Murkowski,Rep.,100,71.4
Senate,Mitt Romney,Rep.,100,71.4
Senate,Ben Sasse,Rep.,100,71.4
House,Brian Fitzpatrick,Rep.,66.7,68.4
Senate,Richard Burr,Rep.,87.5,64.3
Senate,Patrick J. Toomey,Rep.,87.5,64.3
House,John Katko,Rep.,83.3,57.9
House,Adam Kinzinger,Rep.,83.3,57.9
House,Tom Reed,Rep.,66.7,57.9
Senate,Rob Portman,Rep.,75,57.1
Senate,Mike Rounds,Rep.,62.5,57.1
House,Fred Upton,Rep.,66.7,52.6
Senate,Roy Blunt,Rep.,62.5,50
Senate,Mike Braun,Rep.,62.5,50
Senate,James M. Inhofe,Rep.,62.5,50
Senate,James E. Risch,Rep.,62.5,50
Senate,Richard C. Shelby,Rep.,62.5,50
House,Don Bacon,Rep.,50,47.4
House,Jaime Herrera Beutler,Rep.,66.7,47.4
House,Chris Smith,Rep.,50,47.4
Senate,John Barrasso,Rep.,50,42.9
Senate,Marsha Blackburn,Rep.,62.5,42.9
Senate,John Boozman,Rep.,50,42.9
Senate,Shelley Moore Capito,Rep.,50,42.9
Senate,John Cornyn,Rep.,50,42.9
Senate,Tom Cotton,Rep.,50,42.9
Senate,Kevin Cramer,Rep.,50,42.9
Senate,Mike Crapo,Rep.,50,42.9
Senate,Steve Daines,Rep.,50,42.9
Senate,Joni Ernst,Rep.,50,42.9
Senate,Deb Fischer,Rep.,50,42.9
Senate,Lindsey Graham,Rep.,50,42.9
Senate,Chuck Grassley,Rep.,50,42.9
Senate,Bill Hagerty,Rep.,50,42.9
Senate,John Hoeven,Rep.,50,42.9
Senate,Ron Johnson,Rep.,50,42.9
Senate,James Lankford,Rep.,50,42.9
Senate,Mitch McConnell,Rep.,50,42.9
Senate,Jerry Moran,Rep.,50,42.9
Senate,Marco Rubio,Rep.,50,42.9
Senate,Tim Scott,Rep.,50,42.9
Senate,Dan Sullivan,Rep.,50,42.9
Senate,John Thune,Rep.,50,42.9
Senate,Thom Tillis,Rep.,50,42.9
Senate,Roger F. Wicker,Rep.,50,42.9
Senate,Todd Young,Rep.,50,42.9
House,Liz Cheney,Rep.,83.3,42.1
House,Jeff Fortenberry,Rep.,50,42.1
House,Andrew R. Garbarino,Rep.,50,42.1
House,Tony Gonzales,Rep.,50,42.1
House,Anthony Gonzalez,Rep.,66.7,42.1
House,Trey Hollingsworth,Rep.,50,42.1
House,Peter Meijer,Rep.,66.7,42.1
House,Dan Newhouse,Rep.,66.7,42.1
House,David G. Valadao,Rep.,50,41.2
House,David Joyce,Rep.,41.7,39.5
House,Don Young,Rep.,33.3,39.5
House,Troy Balderson,Rep.,33.3,36.8
House,John R. Curtis,Rep.,50,36.8
House,Rodney Davis,Rep.,50,36.8
House,Carlos A. Gimenez,Rep.,16.7,36.8
House,French Hill,Rep.,50,36.8
House,Ashley Hinson,Rep.,33.3,36.8
House,Michael T. McCaul,Rep.,33.3,36.8
House,Blake D. Moore,Rep.,50,36.8
House,Pete Stauber,Rep.,33.3,36.8
House,Ann Wagner,Rep.,33.3,36.8
Senate,Mike Lee,Rep.,50,35.7
Senate,Rand Paul,Rep.,50,35.7
House,María Elvira Salazar,Rep.,25,35.3
House,Young Kim,Rep.,25,34.2
House,Mike Simpson,Rep.,50,34.2
House,Mark Amodei,Rep.,33.3,31.6
House,Cliff Bentz,Rep.,33.3,31.6
House,Gus M. Bilirakis,Rep.,16.7,31.6
House,Mario Diaz-Balart,Rep.,0,31.6
House,Tom Emmer,Rep.,33.3,31.6
House,Mike Gallagher,Rep.,41.7,31.6
House,Brett S. Guthrie,Rep.,33.3,31.6
House,Bill Huizenga,Rep.,33.3,31.6
House,Dusty Johnson,Rep.,50,31.6
House,Robert E. Latta,Rep.,33.3,31.6
House,David McKinley,Rep.,50,31.6
House,Mariannette Miller-Meeks,Rep.,50,31.6
House,John Moolenaar,Rep.,33.3,31.6
House,Victoria Spartz,Rep.,33.3,31.6
House,Bryan Steil,Rep.,33.3,31.6
House,Van Taylor,Rep.,50,31.6
House,Michael Turner,Rep.,33.3,31.6
House,Brad Wenstrup,Rep.,33.3,31.6
House,Steve Womack,Rep.,50,31.6
House,Vern Buchanan,Rep.,33.3,28.9
House,Dan Crenshaw,Rep.,33.3,28.9
House,Gregory F. Murphy,Rep.,25,28.9
Senate,John Kennedy,Rep.,25,28.6
Senate,Cynthia M. Lummis,Rep.,25,28.6
Senate,Rick Scott,Rep.,25,28.6
House,Larry Bucshon,Rep.,33.3,26.3
House,Steve Chabot,Rep.,16.7,26.3
House,James Comer,Rep.,33.3,26.3
House,Randy Feenstra,Rep.,33.3,26.3
House,A. Drew Ferguson,Rep.,33.3,26.3
House,Glenn Grothman,Rep.,33.3,26.3
House,Chris Jacobs,Rep.,16.7,26.3
House,Nicole Malliotakis,Rep.,0,26.3
House,Cathy McMorris Rodgers,Rep.,33.3,26.3
House,David Schweikert,Rep.,16.7,26.3
House,Chris Stewart,Rep.,16.7,26.3
House,Jeff Van Drew,Rep.,0,26.3
House,Michael Waltz,Rep.,33.3,26.3
House,Kay Granger,Rep.,25,23.7
House,Darrell E. Issa,Rep.,16.7,23.7
House,Roger Williams,Rep.,16.7,23.7
House,Kelly Armstrong,Rep.,33.3,21.1
House,Andy Barr,Rep.,33.3,21.1
House,Stephanie I. Bice,Rep.,16.7,21.1
House,Mike Bost,Rep.,0,21.1
House,Kevin Brady,Rep.,16.7,21.1
House,Michael Burgess,Rep.,0,21.1
House,Ken Calvert,Rep.,0,21.1
House,Russ Fulcher,Rep.,16.7,21.1
House,Mike Garcia,Rep.,0,21.1
House,Garret Graves,Rep.,16.7,21.1
House,Richard Hudson,Rep.,0,21.1
House,Bill Johnson,Rep.,0,21.1
House,David Kustoff,Rep.,16.7,21.1
House,Darin LaHood,Rep.,33.3,21.1
House,Nancy Mace,Rep.,33.3,21.1
House,Kevin McCarthy,Rep.,0,21.1
House,Burgess Owens,Rep.,16.7,21.1
House,Steve Scalise,Rep.,0,21.1
House,Austin Scott,Rep.,33.3,21.1
House,Lloyd Smucker,Rep.,16.7,21.1
House,Michelle Steel,Rep.,16.7,21.1
House,Elise Stefanik,Rep.,16.7,21.1
House,Daniel Webster,Rep.,16.7,21.1
House,Bruce Westerman,Rep.,33.3,21.1
House,Joe Wilson,Rep.,0,21.1
House,Robert J. Wittman,Rep.,16.7,21.1
House,Claudia Tenney,Rep.,0,18.8
House,Ken Buck,Rep.,25,18.4
House,Bob Gibbs,Rep.,0,18.4
House,Patrick T. McHenry,Rep.,33.3,18.4
House,Dan Meuser,Rep.,16.7,18.4
House,Greg Pence,Rep.,16.7,18.4
House,Chip Roy,Rep.,50,18.4
House,Glenn W. Thompson,Rep.,16.7,18.4
House,Tim Walberg,Rep.,8.3,18.4
House,Julia Letlow,Rep.,0,18.2
House,Jack Bergman,Rep.,0,15.8
House,Buddy Carter,Rep.,16.7,15.8
House,Michelle Fischbach,Rep.,0,15.8
House,Chuck Fleischmann,Rep.,0,15.8
House,Virginia Foxx,Rep.,16.7,15.8
House,Louie Gohmert,Rep.,16.7,15.8
House,Michael Guest,Rep.,25,15.8
House,Jim Hagedorn,Rep.,0,15.8
House,Fred Keller,Rep.,16.7,15.8
House,Mike Kelly,Rep.,0,15.8
House,Debbie Lesko,Rep.,0,15.8
House,Billy Long,Rep.,8.3,15.8
House,Frank Lucas,Rep.,0,15.8
House,Brian Mast,Rep.,0,15.8
House,Mary E. Miller,Rep.,16.7,15.8
House,Alex Mooney,Rep.,16.7,15.8
House,Markwayne Mullin,Rep.,0,15.8
House,Devin Nunes,Rep.,0,15.8
House,Jay Obernolte,Rep.,0,15.8
House,Guy Reschenthaler,Rep.,0,15.8
House,Tom Rice,Rep.,33.3,15.8
House,Harold Rogers,Rep.,0,15.8
House,Adrian Smith,Rep.,0,15.8
House,Jason Smith,Rep.,0,15.8
House,Beth Van Duyne,Rep.,16.7,15.8
House,Jackie Walorski,Rep.,0,15.8
House,Lee Zeldin,Rep.,0,15.8
Senate,Ted Cruz,Rep.,0,14.3
Senate,Cindy Hyde-Smith,Rep.,0,14.3
Senate,Roger Marshall,Rep.,0,14.3
Senate,Tommy Tuberville,Rep.,0,14.3
House,Jodey Arrington,Rep.,16.7,13.2
House,Jim Banks,Rep.,16.7,13.2
House,Michael Cloud,Rep.,16.7,13.2
House,Ron Estes,Rep.,0,13.2
House,Bob Good,Rep.,16.7,13.2
House,Morgan Griffith,Rep.,0,13.2
House,Vicky Hartzler,Rep.,0,13.2
House,Yvette Herrell,Rep.,16.7,13.2
House,Clay Higgins,Rep.,16.7,13.2
House,Mike Johnson,Rep.,16.7,13.2
House,Jake LaTurner,Rep.,8.3,13.2
House,August Pfluger,Rep.,16.7,13.2
House,John Rose,Rep.,16.7,13.2
House,Thomas P. Tiffany,Rep.,16.7,13.2
House,Randy Weber,Rep.,16.7,13.2
House,Jim Baird,Rep.,0,10.5
House,John Carter,Rep.,0,10.5
House,Ben Cline,Rep.,0,10.5
House,Tom Cole,Rep.,0,10.5
House,Rick Crawford,Rep.,0,10.5
House,Warren Davidson,Rep.,0,10.5
House,Neal Dunn,Rep.,0,10.5
House,Pat Fallon,Rep.,0,10.5
House,Scott Fitzgerald,Rep.,0,10.5
House,C. Scott Franklin,Rep.,0,10.5
House,Matt Gaetz,Rep.,0,10.5
House,Lance Gooden,Rep.,0,10.5
House,Sam Graves,Rep.,0,10.5
House,Jody Hice,Rep.,8.3,10.5
House,John Joyce,Rep.,0,10.5
House,Doug Lamborn,Rep.,0,10.5
House,Blaine Luetkemeyer,Rep.,0,10.5
House,Thomas Massie,Rep.,33.3,10.5
House,Lisa C. McClain,Rep.,0,10.5
House,Tom McClintock,Rep.,33.3,10.5
House,Carol Miller,Rep.,0,10.5
House,Barry Moore,Rep.,8.3,10.5
House,Troy E. Nehls,Rep.,0,10.5
House,Bill Posey,Rep.,0,10.5
House,John Rutherford,Rep.,0,10.5
House,Pete Sessions,Rep.,0,10.5
House,William Timmons,Rep.,0,10.5
House,Brian Babin,Rep.,0,7.9
House,Lauren Boebert,Rep.,0,7.9
House,Tim Burchett,Rep.,0,7.9
House,Scott DesJarlais,Rep.,8.3,7.9
House,Andy Harris,Rep.,8.3,7.9
House,Ronny Jackson,Rep.,16.7,7.9
House,Trent Kelly,Rep.,0,7.9
House,Robert B. Aderholt,Rep.,0,5.3
House,Rick Allen,Rep.,0,5.3
House,Dan Bishop,Rep.,0,5.3
House,Ted Budd,Rep.,0,5.3
House,Kat Cammack,Rep.,0,5.3
House,Jerry L. Carl,Rep.,0,5.3
House,Madison Cawthorn,Rep.,0,5.3
House,Andrew S. Clyde,Rep.,0,5.3
House,Byron Donalds,Rep.,0,5.3
House,Jeff Duncan,Rep.,0,5.3
House,Mark E. Green,Rep.,0,5.3
House,Marjorie Taylor Greene,Rep.,0,5.3
House,Diana Harshbarger,Rep.,0,5.3
House,Kevin Hern,Rep.,0,5.3
House,Jim Jordan,Rep.,0,5.3
House,Doug LaMalfa,Rep.,0,5.3
House,Barry Loudermilk,Rep.,0,5.3
House,Tracey Mann,Rep.,0,5.3
House,Steven Palazzo,Rep.,0,5.3
House,Gary Palmer,Rep.,0,5.3
House,Scott Perry,Rep.,0,5.3
House,Mike Rogers,Rep.,0,5.3
House,David Rouzer,Rep.,0,5.3
House,Greg Steube,Rep.,0,5.3
House,Andy Biggs,Rep.,0,2.6
House,Mo Brooks,Rep.,0,0
House,Paul A. Gosar,Rep.,0,0
House,Ralph Norman,Rep.,0,0
House,Matthew M. Rosendale,Rep.,0,0
Senate,Josh Hawley,Rep.,0,0
